Rxn	GPR
DLSTP1_DLD_OGDH_PDHX_DLST_DHTKD1_OGDHL	1738 and 1743 and 4967
KANK1_SUCLA2_SUCLG1_SUCLG2_1	8802 and 8801
SDHA_SDHB_SDHC_SDHD	6392 and 6390 and 6391 and 6389
FH_1	2271
MDH2	4191
ME2_ME3_1	4200
ME2_ME3_2	10873
ACLY	47
FH_2	2271
MDH1_MDH1B	130752 or 4190
ACO1_IREB2	48
IDH1	3417
LHPP_PPA2_PRUNE_EIF4A2_NAV2_PPA1_1	5464 or 64077
Complex1ROS	4700 and 4719 and 4716 and 4725 and 4536 and 51079 and 4698 and 54539 and 4715 and 4540 and 4705 and 4720 and 4538 and 4708 and 4541 and 4694 and 4723 and 4702 and 4710 and 126328 and 4537 and 4729 and 4535 and 4714 and 4712 and 4717 and 4707 and 4728 and 374291 and 4711 and 4704 and 4696 and 4709 and 4713 and 4706 and 4695 and 4722 and 4718 and 4539
Complex2	
Complex3	7386 and 7385 and 7384 and 7381 and 1537 and 29796 and 4519 and 27089 and 10975 and 7388
Complex4	4513 and 4514 and 9377 and 4512 and 1350 and 1345 and ((1346 and 1349 and 1329 and 125965 and 1351 and 1337) or (1340 and 1327 and 1346 and 1349 and 1329 and 1351 and 1337) or (1340 and 1327 and 1339 and 1346 and 1349 and 1351) or (1340 and 1327 and 1347 and 1349 and 1351 and 1337) or (1340 and 1339 and 1346 and 1349 and 1329 and 1351 and 84701) or (1339 and 1346 and 1349 and 1329 and 125965 and 1351) or (1340 and 1339 and 1346 and 341947 and 1349 and 1329) or (1347 and 1349 and 1329 and 125965 and 1351) or (1347 and 1339 and 1349 and 1351 and 84701) or (1347 and 1349 and 341947 and 1329 and 1337) or (170712 and 1346 and 1329 and 125965 and 1351) or (170712 and 1340 and 1327 and 1346 and 1351 and 1337) or (170712 and 1340 and 1339 and 1346 and 1351 and 84701) or (170712 and 1347 and 1351 and 84701 and 1337) or (170712 and 1346 and 341947 and 1329 and 1337))
ATPsynthase	521 and 539 and 9551 and 4509 and 515 and 522 and 4508 and 513 and 498 and 514 and 509 and 506 and ((10476 and 516 and 10632) or (10476 and 517) or (10476 and 518) or (518 and 10632) or (517 and 10632))
GCL	2729 and 2730
GSS	2937
SOD2	6648
GPmit	2879 or 2876 or 10935
mGSRnadh	2936
mGSRnadph	2936
TrasportGSH	1468
MPC1_MPC2_MPC1L	(51660 and 25874) or 6566
SLC25A3	5250
SLC25A5_SLC25A4_SLC25A6	292 or 291 or 293
Transport_CO2	
TransportOxygen	
ALDH3B1_ALDH3A1_ALDH3B2_ALDH1A3	293
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_1	10201 or 4831 or 4830 or 29922 or 4832
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_2	4833 or 10201
AQP8	
HIBCH	
SLC25A10_4	1468
CA12_CA2_CA9_CA14_CA1_CA3_CA4_CA7_CA13	771 or 761 or 760 or 768 or 762 or 765 or 766 or 23632 or 759 or 377677
CA5B_CA5A	763 or 11238
TransportGln	
GLS2	2744
TransportGlu	83733 or 79751
GLS	27165 or 2744
GS	2752 or 51557
PPAT	5471
ADSS_ADSSL1	122622 or 159
TNRC6B_ADSL_1	158
GART_1	2618
GART_2	2618
PFAS	5198
OGDH_GART_OGDHL	2618
PAICS_1	10606
PAICS_2	10606
TNRC6B_ADSL_2	158
ATIC_1	471
ATIC_2	471
GMPR2_GMPR	2766 or 51292
GUK1_1	2987
RRM2B_TXN_RRM1_RRM2B_1	6240 and (50484 or 6241)
GUK1_2	2987
AK2_TAF9_AK1_AK7_AK3_AK5_AKD1_AK4_AK8_1	204 or 26289 or 122481 or 203
RRM2B_TXN_RRM1_RRM2B_2	6240 and (50484 or 6241)
AK	122481 or 205 or 26289 or 204 or 203
IMPDH2	3614 or 3615
GMPS	8833
CAD_1	790
CAD_2	790
CAD_3	790
DHODH	1723
UMPS_1	7372
UMPS_2	7372
CMPK2_CMPK1_1	51727
RRM2B_TXN_RRM1_RRM2_1	6240 and (50484 or 6241)
TYMS	7298
CMPK1_DTYMK	1841
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_3	10201 or 4831 or 4830 or 29922 or 4832
NME2_NME3_NME4_NME5_NME2P1_NME7_NME6_NME1_NME2_4	10201 or 4831 or 4830 or 29922 or 4832
CMPK2_CMPK1_2	51727
CTPS2_GATM_CTPS1	1503 or 56474
RRM2B_TXN_RRM1_RRM2_2	6240 and (50484 or 6241)
CMPK2_CMPK1_3	51727
GLUD1_GLUD2_1	2746 or 2747
GLUD1_GLUD2_2	2746 or 2747
GOT1_GOT2_GOT1L1_2	2805
GOT2_GOT1L1_1	2806
SLC25A13_SLC25A12	10165 or 8604
FH_3	
CPS1	1373
OTC_LEFTY1	5009
SLC25A15_SLC25A2_1	10166 or 83884
GCDH_SLC25A2_2	10166 or 83884
ASS1	445
ASL_CRCP	435
ARG2_ARG1	383
OGDH_ODC1_OGDHL	4953
AGAT	2628
arginineAmidinohydrolase	
OAT	4942
ALDH4A1_1	8659
Transport_Lglu5semialdehyde	
ALDH4A1_2	8659
PYCRL_PYCR2_PYCR1_LEFTY1_2	29920
PYCRL_PYCR2_PYCR1_LEFTY1_1	29920
ASNS	440
ASRGL1_ASPG	374569 or 80150
GOT1_GOT2	2805
PHGDH_UBAC2	26227
PSAT1	29968
VPS29_PSPH_PSPHP1	5723
SHMT1	6470
SDS_SDSL_SRR	113675 or 10993
GPT	
CCBL1	
NIT2	56954
Transport_serine	
Transport_glycine	
SHMT1_2	6472
TransportFolate	81034
SLC16A3_SLC16A1_SLC16A5_2	
DHFRL1_DHFR_5	1719
DHFRL1_DHFR_6	1719
MTHFD1_AL445665_1_AQP7P4_LOC286297_2	25902 or 4522
MTHFD1_2	10797
MTHFD2_4	10797 or 4522
DHFRL1_DHFR_2	1719
DHFRL1_DHFR_4	1719
MTHFD1_AL445665_1_AQP7P4_LOC286297	4522
MTHFD1_3	160428 or 10840
MTHFD1_1	4522
MTHFD2_1	4524 or 4522
MTHFD2_2	10797 or 441024
ACAT1_ACAT2	39
HMGCS1_HMGCS2	3157
HMGCR	3156
MVK	4598
PMVK	10654
IDI1_IDI2	3422 or 91734
MVD	4597
ARID4B_GGPS1_FDPS_FDPSP7_1	9453 or 2224
ARID4B_GGPS1_FDPS_FDPSP7_2	9453 or 2224
FDFT1_1	2222
FDFT1_2	2222
SQLE	6713
LSS	4047
CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_1	1595
CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_2	1595
CYP51A1_HSD17B10_HADHA_EHHADH_HSD17B4_HADH_3	1595
ACAA1_HADHB_LBR_TM7SF2_MYO5B_ACAA2	7108
MSMO1_1	6307
MSMO1_2	6307
MSMO1_3	6307
NSDHL_MAGEA2B	50814
NSDHL	50814
HSD17B7	51478
MSMO1_4	6307
MSMO1_5	6307
MSMO1_6	6307
MSMO1_NSDHL	50814
HSD17B6_HSD17B2_HSD17B7_HSD17B12	51478
ALG13_EBP	10682
SC5DL_1	6309
DHCR7_1	1717
DHCR24_LEFTY1	1718
ACACB_PRKAG2_PRKAB2_ACACA_PRKAA2	31 or 32
FASN_1	2194
MCAT_FASN	2194
AcAcACPSynthesis	2194
ALDH3A2_ALDH2_ALDH1B1_ALDH9A1_ALDH7A1_FASN	2194
FASN_2	2194
PECR_MECR_FASN_1	2194
ELOVL5_AGPAT4_UPB1_PNPLA3_TAZ_LPCAT3_LPGAT1_MBOAT7_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	2194
FASN_3	2194
OXSM_FASN	2194
HSD17B10_HADHA_EHHADH_HSD17B4_HADH_FASN_1	2194
ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	2194
FASN_4	2194
GGT5_GGT1_GGTLC2_GGT7_GGT2_FASN_GGTLC3_1	2194
HADHA_EHHADH_ECHS1_FASN_1	2194
ELOVL5_AGPAT4_HADHA_PBPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_ECHS1_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	2194
AOX1_FASN	2194
FASN_5	2194
HSD17B10_HADHA_EHHADH_HSD17B4_HADH_FASN_2	2194
ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2_1	2194
HADHA_EHHADH_ECHS1_FASN_2	2194
HADHA_EHHADH_ECHS1_FASN_3	2194
CMAS_FASN	2194
ELOVL5_AGPAT4_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_ECHS1_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2	2194
PECR_MECR_FASN_2	2194
ACAA1_HADHB_MYO5B_ACAA2_FASN_1	2194
HSD17B10_HADHA_EHHADH_HAD17B4_HADH_FASN	2194
ELOVL5_AGPAT4_HSD17B10_HADHA_PNPLA3_TAZ_LPCAT3_EHHADH_LPGAT1_MBOAT7_HSD17B4_HADH_ESCO1_MBOAT2_OXSM_AGPAT3_SLC33A1_FASN_ELOVL6_ESCO2_MBOAT1_LCLAT1_LPCAT4_DGAT2L6_HYAL3_ELOVL2_2	2194
GGT5_GGT1_GGTLC2_GGT7_GGT2_FASN_GGTLC3_2	2194
ACOT8_FASN	2194
ACAA1_HADHB_MYO5B_ACAA2_FASN_2	2194
OLAH_FASN	55301 and 2194
PrepDemPalmitate	
UniportOrnithine	10166 or 83884
CotraspArgOrnA	83884
CotraspArgOrnB	83884
CotraspArgCitrA	83884
CotraspArgCitrB	83884
UniportArginine	10166 or 83884
UniportCitrulline	10166 or 83884
ATPmaintenance	
SLC25A1	6576
SLC25A11	1468 or 8402
SLC25A16	8034
palmitateActivation	2180 or 2181 or 23305 or 2182
carnitineAcylTransferaseI	1375 or 126129 or 1374
translocase	788
carnitineAcylTransferaseII	1376
betaOxidation	(1892 and 2108 and 2109 and 3032 and 33 and 34 and 51 and 3030 and 37) or 10449
biomass_synthesis	
